processid;state;user;tasktype;taskid;action;pmmid;region;priority;
100293;OPEN;Approve GeoSlam;USER_TASK;201949;ASSIGNED;2831;JOHANNESBURG;2;#N/A
120033;OPEN;Approve GeoSlam;USER_TASK;202197;SUSPENDED;2837;PRETORIA;1;#N/A
110538;OPEN;Approve GeoSlam;USER_TASK;201954;ASSIGNED;2865;PRETORIA;3;#N/A
130071;OPEN;Approve GeoSlam;USER_TASK;202188;SUSPENDED;2904;PORT ELIZABETH;1;#N/A
130073;OPEN;Approve GeoSlam;USER_TASK;202190;ASSIGNED;2905;PORT ELIZABETH;1;#N/A
110338;OPEN;Approve GeoSlam;USER_TASK;201576;ASSIGNED;2921;PRETORIA;1;#N/A
120031;OPEN;Approve GeoSlam;USER_TASK;202192;ASSIGNED;2979;DURBAN;1;#N/A
110394;OPEN;Approve QA;USER_TASK;202314;ASSIGNED;3004;JOHANNESBURG;1;#N/A
110533;OPEN;Approve GeoSlam;USER_TASK;201945;ASSIGNED;3075;JOHANNESBURG;2;#N/A
110316;OPEN;User task 1;USER_TASK;201897;ASSIGNED;3077;PRETORIA;1;#N/A
